date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:21	17064/17064	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2013:17:21%20GMT	https://goldenspots.asia/beranda.php	C:/Users/User/Desktop/web/goldenspots.asia/beranda.html	(from )
20:17:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Oct%202022%2013:17:22%20GMT	https://goldenspots.asia/robots.txt		(from )
20:17:22	55947/55947	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Aug%202022%2022:43:20%20GMT	https://goldenspots.asia/favicon_io/apple-touch-icon.png	C:/Users/User/Desktop/web/goldenspots.asia/favicon_io/apple-touch-icon.png	(from https://goldenspots.asia/beranda.php)
20:17:22	2594/2594	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Aug%202022%2022:43:20%20GMT	https://goldenspots.asia/favicon_io/favicon-32x32.png	C:/Users/User/Desktop/web/goldenspots.asia/favicon_io/favicon-32x32.png	(from https://goldenspots.asia/beranda.php)
20:17:23	862/862	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Aug%202022%2022:43:20%20GMT	https://goldenspots.asia/favicon_io/favicon-16x16.png	C:/Users/User/Desktop/web/goldenspots.asia/favicon_io/favicon-16x16.png	(from https://goldenspots.asia/beranda.php)
20:17:23	263/263	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2028%20Aug%202022%2022:43:20%20GMT	https://goldenspots.asia/favicon_io/site.webmanifest	C:/Users/User/Desktop/web/goldenspots.asia/favicon_io/site.webmanifest	(from https://goldenspots.asia/beranda.php)
20:17:23	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Users/User/Desktop/web/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://goldenspots.asia/beranda.php)
20:17:24	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/User/Desktop/web/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://goldenspots.asia/beranda.php)
20:17:24	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Users/User/Desktop/web/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://goldenspots.asia/beranda.php)
20:17:24	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/User/Desktop/web/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://goldenspots.asia/beranda.php)
20:17:24	1313/1313	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Aug%202022%2004:31:54%20GMT	https://goldenspots.asia/style5.css	C:/Users/User/Desktop/web/goldenspots.asia/style5.css	(from https://goldenspots.asia/beranda.php)
20:17:25	1713/1713	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2013:17:25%20GMT	https://goldenspots.asia/index.php	C:/Users/User/Desktop/web/goldenspots.asia/index.html	(from https://goldenspots.asia/beranda.php)
20:17:25	5376/5376	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2010:26:26%20GMT	https://goldenspots.asia/marquee.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/marquee.jpg	(from https://goldenspots.asia/beranda.php)
20:17:25	37029/37029	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2006:39:48%20GMT	https://goldenspots.asia/logoindex.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/logoindex.jpg	(from https://goldenspots.asia/beranda.php)
20:17:25	17686/17686	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Aug%202022%2007:39:58%20GMT	https://goldenspots.asia/lc.gif	C:/Users/User/Desktop/web/goldenspots.asia/lc.gif	(from https://goldenspots.asia/beranda.php)
20:17:25	44679/44679	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Aug%202022%2007:52:28%20GMT	https://goldenspots.asia/login.gif	C:/Users/User/Desktop/web/goldenspots.asia/login.gif	(from https://goldenspots.asia/beranda.php)
20:17:26	2510/2510	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Oct%202022%2013:17:26%20GMT	https://goldenspots.asia/register.php	C:/Users/User/Desktop/web/goldenspots.asia/register.html	(from https://goldenspots.asia/beranda.php)
20:17:26	26346/26346	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Aug%202022%2007:53:56%20GMT	https://goldenspots.asia/daftar.gif	C:/Users/User/Desktop/web/goldenspots.asia/daftar.gif	(from https://goldenspots.asia/beranda.php)
20:17:26	101126/101126	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:12:10%20GMT	https://goldenspots.asia/promo/1.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/1.jpg	(from https://goldenspots.asia/beranda.php)
20:17:27	102725/102725	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:14:08%20GMT	https://goldenspots.asia/promo/2.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/2.jpg	(from https://goldenspots.asia/beranda.php)
20:17:27	73029/73029	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:14:40%20GMT	https://goldenspots.asia/promo/3.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/3.jpg	(from https://goldenspots.asia/beranda.php)
20:17:27	100763/100763	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:15:18%20GMT	https://goldenspots.asia/promo/4.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/4.jpg	(from https://goldenspots.asia/beranda.php)
20:17:27	90680/90680	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:16:18%20GMT	https://goldenspots.asia/promo/5.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/5.jpg	(from https://goldenspots.asia/beranda.php)
20:17:28	97432/97432	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:18:02%20GMT	https://goldenspots.asia/promo/6.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/6.jpg	(from https://goldenspots.asia/beranda.php)
20:17:28	53640/53640	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:18:14%20GMT	https://goldenspots.asia/promo/7.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/7.jpg	(from https://goldenspots.asia/beranda.php)
20:17:28	75459/75459	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:18:20%20GMT	https://goldenspots.asia/promo/8.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/8.jpg	(from https://goldenspots.asia/beranda.php)
20:17:28	24031/24031	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:18:52%20GMT	https://goldenspots.asia/promo/10.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/10.jpg	(from https://goldenspots.asia/beranda.php)
20:17:28	100623/100623	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:18:38%20GMT	https://goldenspots.asia/promo/9.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/9.jpg	(from https://goldenspots.asia/beranda.php)
20:17:29	15036/15036	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:18%20GMT	https://goldenspots.asia/menu/beranda.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/beranda.jpg	(from https://goldenspots.asia/beranda.php)
20:17:29	297761/297761	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Aug%202022%2017:19:02%20GMT	https://goldenspots.asia/promo/11.jpg	C:/Users/User/Desktop/web/goldenspots.asia/promo/11.jpg	(from https://goldenspots.asia/beranda.php)
20:17:29	31269/31269	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:52%20GMT	https://goldenspots.asia/menu/ayam.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/ayam.jpg	(from https://goldenspots.asia/beranda.php)
20:17:29	17536/17536	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:30%20GMT	https://goldenspots.asia/menu/casino.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/casino.jpg	(from https://goldenspots.asia/beranda.php)
20:17:29	14894/14894	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:40%20GMT	https://goldenspots.asia/menu/ikan.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/ikan.jpg	(from https://goldenspots.asia/beranda.php)
20:17:30	12727/12727	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:46%20GMT	https://goldenspots.asia/menu/poker.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/poker.jpg	(from https://goldenspots.asia/beranda.php)
20:17:30	12436/12436	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2007:37:32%20GMT	https://goldenspots.asia/menu/slot.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/slot.jpg	(from https://goldenspots.asia/beranda.php)
20:17:30	12123/12123	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2007:37:24%20GMT	https://goldenspots.asia/menu/sport.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/sport.jpg	(from https://goldenspots.asia/beranda.php)
20:17:30	20668/20668	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2006:51:56%20GMT	https://goldenspots.asia/menu/promosi.jpeg	C:/Users/User/Desktop/web/goldenspots.asia/menu/promosi.jpg	(from https://goldenspots.asia/beranda.php)
20:17:31	293982/293982	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Aug%202022%2008:09:44%20GMT	https://goldenspots.asia/pgjp.gif	C:/Users/User/Desktop/web/goldenspots.asia/pgjp.gif	(from https://goldenspots.asia/beranda.php)
20:17:31	100882/100882	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Sep%202022%2005:28:18%20GMT	https://goldenspots.asia/lotto.jpg	C:/Users/User/Desktop/web/goldenspots.asia/lotto.jpg	(from https://goldenspots.asia/beranda.php)
20:17:31	28333/28333	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:18:24%20GMT	https://goldenspots.asia/logofooter/pp.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/pp.png	(from https://goldenspots.asia/beranda.php)
20:17:32	34595/34595	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:18:38%20GMT	https://goldenspots.asia/logofooter/bng.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/bng.png	(from https://goldenspots.asia/beranda.php)
20:17:32	35558/35558	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:19:20%20GMT	https://goldenspots.asia/logofooter/haba.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/haba.png	(from https://goldenspots.asia/beranda.php)
20:17:32	81373/81373	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:19:54%20GMT	https://goldenspots.asia/logofooter/joker.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/joker.png	(from https://goldenspots.asia/beranda.php)
20:17:32	40530/40530	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:18:54%20GMT	https://goldenspots.asia/logofooter/pg.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/pg.png	(from https://goldenspots.asia/beranda.php)
20:17:33	14477/14477	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:19:08%20GMT	https://goldenspots.asia/logofooter/sp.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/sp.png	(from https://goldenspots.asia/beranda.php)
20:17:33	38231/38231	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:20:22%20GMT	https://goldenspots.asia/logofooter/red.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/red.png	(from https://goldenspots.asia/beranda.php)
20:17:33	36141/36141	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:19:40%20GMT	https://goldenspots.asia/logofooter/ygg.png	C:/Users/User/Desktop/web/goldenspots.asia/logofooter/ygg.png	(from https://goldenspots.asia/beranda.php)
20:17:35	155649/155649	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Sep%202022%2003:02:26%20GMT	https://goldenspots.asia/menuslot/1.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menuslot/1.png	(from https://goldenspots.asia/beranda.php)
20:17:35	156852/156852	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Sep%202022%2003:03:44%20GMT	https://goldenspots.asia/menuslot/2.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menuslot/2.png	(from https://goldenspots.asia/beranda.php)
20:17:36	160910/160910	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Sep%202022%2003:04:10%20GMT	https://goldenspots.asia/menuslot/3.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menuslot/3.png	(from https://goldenspots.asia/beranda.php)
20:17:37	152410/152410	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Sep%202022%2003:04:24%20GMT	https://goldenspots.asia/menuslot/4.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menuslot/4.png	(from https://goldenspots.asia/beranda.php)
20:17:37	23229/23229	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:44:12%20GMT	https://goldenspots.asia/menucasino/1.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/1.png	(from https://goldenspots.asia/beranda.php)
20:17:37	139841/139841	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Aug%202022%2010:04:04%20GMT	https://goldenspots.asia/sport1.jpg	C:/Users/User/Desktop/web/goldenspots.asia/sport1.jpg	(from https://goldenspots.asia/beranda.php)
20:17:37	19252/19252	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:44:20%20GMT	https://goldenspots.asia/menucasino/2.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/2.png	(from https://goldenspots.asia/beranda.php)
20:17:37	22593/22593	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:44:28%20GMT	https://goldenspots.asia/menucasino/3.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/3.png	(from https://goldenspots.asia/beranda.php)
20:17:37	61836/61836	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:44:38%20GMT	https://goldenspots.asia/menucasino/4.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/4.png	(from https://goldenspots.asia/beranda.php)
20:17:38	74795/74795	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:44:56%20GMT	https://goldenspots.asia/menucasino/5.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/5.png	(from https://goldenspots.asia/beranda.php)
20:17:38	22804/22804	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:45:02%20GMT	https://goldenspots.asia/menucasino/6.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/6.png	(from https://goldenspots.asia/beranda.php)
20:17:38	71170/71170	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:45:10%20GMT	https://goldenspots.asia/menucasino/7.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/7.png	(from https://goldenspots.asia/beranda.php)
20:17:38	22227/22227	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:45:18%20GMT	https://goldenspots.asia/menucasino/8.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/8.png	(from https://goldenspots.asia/beranda.php)
20:17:38	19254/19254	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2010:45:28%20GMT	https://goldenspots.asia/menucasino/9.png	C:/Users/User/Desktop/web/goldenspots.asia/menucasino/9.png	(from https://goldenspots.asia/beranda.php)
20:17:39	27050/27050	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2011:17:06%20GMT	https://goldenspots.asia/menupoker/1.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menupoker/1.png	(from https://goldenspots.asia/beranda.php)
20:17:39	25944/25944	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2011:17:34%20GMT	https://goldenspots.asia/menupoker/2.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menupoker/2.png	(from https://goldenspots.asia/beranda.php)
20:17:39	410324/410324	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2011:07:10%20GMT	https://goldenspots.asia/tembakikan.PNG	C:/Users/User/Desktop/web/goldenspots.asia/tembakikan.png	(from https://goldenspots.asia/beranda.php)
20:17:40	27262/27262	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2011:18:08%20GMT	https://goldenspots.asia/menupoker/3.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menupoker/3.png	(from https://goldenspots.asia/beranda.php)
20:17:40	18697/18697	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2011:18:20%20GMT	https://goldenspots.asia/menupoker/4.PNG	C:/Users/User/Desktop/web/goldenspots.asia/menupoker/4.png	(from https://goldenspots.asia/beranda.php)
20:17:48	13857/13857	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jul%202022%2017:45:48%20GMT	https://goldenspots.asia/logobank/bni.png	C:/Users/User/Desktop/web/goldenspots.asia/logobank/bni.png	(from https://goldenspots.asia/beranda.php)
20:17:49	642385/642385	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jul%202022%2013:41:14%20GMT	https://goldenspots.asia/slide1.jpg	C:/Users/User/Desktop/web/goldenspots.asia/slide1.jpg	(from https://goldenspots.asia/beranda.php)
